coverage,dimension,threshold,linkage,nb_motifs,nb_motif_sets,full_numba,repeat,Time [ms]
0.5,50,0.5,complete,5,1,True,3,36.459856
0.5,50,0.5,complete,5,1,True,4,34.990854
0.5,50,0.5,complete,5,1,True,5,35.606158
0.5,50,0.5,complete,5,1,True,6,34.624717
0.5,50,0.5,complete,5,1,True,7,35.29935
0.5,50,0.5,complete,5,1,True,8,34.268491
0.5,50,0.5,complete,5,1,True,9,38.163557
0.5,50,0.5,complete,10,1,True,0,87.874514
0.5,50,0.5,complete,10,1,True,1,92.628096
0.5,50,0.5,complete,10,1,True,2,85.814113
0.5,50,0.5,complete,10,1,True,3,94.978801
0.5,50,0.5,complete,10,1,True,4,92.693378
0.5,50,0.5,complete,10,1,True,5,93.758223
0.5,50,0.5,complete,10,1,True,6,86.922563
0.5,50,0.5,complete,10,1,True,7,89.550579
0.5,50,0.5,complete,10,1,True,8,89.295437
0.5,50,0.5,complete,10,1,True,9,88.21294
0.5,50,0.5,complete,20,1,True,0,219.237159
0.5,50,0.5,complete,20,1,True,1,201.726266
0.5,50,0.5,complete,20,1,True,2,213.051574
0.5,50,0.5,complete,20,1,True,3,212.329253
0.5,50,0.5,complete,20,1,True,4,214.611963
0.5,50,0.5,complete,20,1,True,5,207.115074
0.5,50,0.5,complete,20,1,True,6,210.363377
0.5,50,0.5,complete,20,1,True,7,211.206755
0.5,50,0.5,complete,20,1,True,8,209.988855
0.5,50,0.5,complete,20,1,True,9,207.352033
0.5,50,0.5,complete,30,1,True,0,397.880379
0.5,50,0.5,complete,30,1,True,1,404.228567
0.5,50,0.5,complete,30,1,True,2,403.233544
0.5,50,0.5,complete,30,1,True,3,417.227277
0.5,50,0.5,complete,30,1,True,4,415.745794
0.5,50,0.5,complete,30,1,True,5,411.687435
0.5,50,0.5,complete,30,1,True,6,411.65294
0.5,50,0.5,complete,30,1,True,7,412.154203
0.5,50,0.5,complete,30,1,True,8,409.621195
0.5,50,0.5,complete,30,1,True,9,417.869941
0.5,50,0.5,complete,50,1,True,0,1169.395362
0.5,50,0.5,complete,50,1,True,1,1149.466383
0.5,50,0.5,complete,50,1,True,2,1157.302586
0.5,50,0.5,complete,50,1,True,3,1144.817997
0.5,50,0.5,complete,50,1,True,4,1148.5752
0.5,50,0.5,complete,50,1,True,5,1186.256099
0.5,50,0.5,complete,50,1,True,6,1184.574835
0.5,50,0.5,complete,50,1,True,7,1192.853775
0.5,50,0.5,complete,50,1,True,8,1180.424453
0.5,50,0.5,complete,50,1,True,9,1134.552182
0.5,50,0.5,complete,75,1,True,0,2877.553956
0.5,50,0.5,complete,75,1,True,1,2905.744751
0.5,50,0.5,complete,75,1,True,2,2904.18455
0.5,50,0.5,complete,75,1,True,3,2884.604145
0.5,50,0.5,complete,75,1,True,4,2950.319144
0.5,50,0.5,complete,75,1,True,5,2920.741914
0.5,50,0.5,complete,75,1,True,6,2906.617329
0.5,50,0.5,complete,75,1,True,7,2859.106483
0.5,50,0.5,complete,75,1,True,8,2916.475943
0.5,50,0.5,complete,75,1,True,9,2932.407043
0.5,50,0.5,complete,100,1,True,0,5912.896623
0.5,50,0.5,complete,100,1,True,1,5903.51496
0.5,50,0.5,complete,100,1,True,2,5999.383972
0.5,50,0.5,complete,100,1,True,3,5786.672268
0.5,50,0.5,complete,100,1,True,4,5965.639213
0.5,50,0.5,complete,100,1,True,5,5934.14148
0.5,50,0.5,complete,100,1,True,6,5761.974625
0.5,50,0.5,complete,100,1,True,7,5884.740779
0.5,50,0.5,complete,100,1,True,8,6139.430636
0.5,50,0.5,complete,100,1,True,9,5838.458604
0.5,50,0.5,complete,60,1,True,0,1660.413945
0.5,50,0.5,complete,60,1,True,1,1749.379956
0.5,50,0.5,complete,60,1,True,2,1690.010703
0.5,50,0.5,complete,60,1,True,3,1655.597331
0.5,50,0.5,complete,60,1,True,4,1649.555486
0.5,50,0.5,complete,60,1,True,5,1706.442068
0.5,50,0.5,complete,60,1,True,6,1662.857513
0.5,50,0.5,complete,60,1,True,7,1703.669028
0.5,50,0.5,complete,60,1,True,8,1721.211823
0.5,50,0.5,complete,60,1,True,9,1685.972235
0.5,50,0.5,complete,60,2,True,0,1655.935733
0.5,50,0.5,complete,60,2,True,1,1640.154902
0.5,50,0.5,complete,60,2,True,2,1664.902331
0.5,50,0.5,complete,60,2,True,3,1629.561609
0.5,50,0.5,complete,60,2,True,4,1641.138967
0.5,50,0.5,complete,60,2,True,5,1608.30947
0.5,50,0.5,complete,60,2,True,6,1652.895406
0.5,50,0.5,complete,60,2,True,7,1697.279149
0.5,50,0.5,complete,60,2,True,8,1638.489672
0.5,50,0.5,complete,60,2,True,9,1642.150466
0.5,50,0.5,complete,60,5,True,0,1489.384682
0.5,50,0.5,complete,60,5,True,1,1501.103475
0.5,50,0.5,complete,60,5,True,2,1522.006025
0.5,50,0.5,complete,60,5,True,3,1564.849328
0.5,50,0.5,complete,60,5,True,4,1465.584494
0.5,50,0.5,complete,60,5,True,5,1503.309726
0.5,50,0.5,complete,60,5,True,6,1520.56929
0.5,50,0.5,complete,60,5,True,7,1514.981931
0.5,50,0.5,complete,60,5,True,8,1499.657827
0.5,50,0.5,complete,60,5,True,9,1500.699249
0.5,50,0.5,complete,60,10,True,0,1556.127992
0.5,50,0.5,complete,60,10,True,1,1538.553017
0.5,50,0.5,complete,60,10,True,2,1510.944971
0.5,50,0.5,complete,60,10,True,3,1555.330604
0.5,50,0.5,complete,60,10,True,4,1510.938282
0.5,50,0.5,complete,60,10,True,5,1522.077731
0.5,50,0.5,complete,60,10,True,6,1532.407299
0.5,50,0.5,complete,60,10,True,7,1587.845632
0.5,50,0.5,complete,60,10,True,8,1506.970359
0.5,50,0.5,complete,60,10,True,9,1550.604036
0.5,50,0.5,complete,60,15,True,0,1652.733311
0.5,50,0.5,complete,60,15,True,1,1665.366627
0.5,50,0.5,complete,60,15,True,2,1661.466599
0.5,50,0.5,complete,60,15,True,3,1665.08334
0.5,50,0.5,complete,60,15,True,4,1627.689255
0.5,50,0.5,complete,60,15,True,5,1668.592369
0.5,50,0.5,complete,60,15,True,6,1681.999834
0.5,50,0.5,complete,60,15,True,7,1671.175392
0.5,50,0.5,complete,60,15,True,8,1713.704553
0.5,50,0.5,complete,60,15,True,9,1689.476443
0.5,50,0.5,complete,60,20,True,0,1538.699984
0.5,50,0.5,complete,60,20,True,1,1517.027356
0.5,50,0.5,complete,60,20,True,2,1547.560209
0.5,50,0.5,complete,60,20,True,3,1554.788274
0.5,50,0.5,complete,60,20,True,4,1517.024297
0.5,50,0.5,complete,60,20,True,5,1506.169764
0.5,50,0.5,complete,60,20,True,6,1513.924243
0.5,50,0.5,complete,60,20,True,7,1496.121799
0.5,50,0.5,complete,60,20,True,8,1537.13896
0.5,50,0.5,complete,60,20,True,9,1530.192402
0.5,50,0.5,complete,60,25,True,0,2041.045121
0.5,50,0.5,complete,60,25,True,1,2004.39262
0.5,50,0.5,complete,60,25,True,2,2013.266773
0.5,50,0.5,complete,60,25,True,3,1998.43184
0.5,50,0.5,complete,60,25,True,4,1980.437316
0.5,50,0.5,complete,60,25,True,5,2004.322145
0.5,50,0.5,complete,60,25,True,6,1972.975211
0.5,50,0.5,complete,60,25,True,7,2012.429309
0.5,50,0.5,complete,60,25,True,8,2057.362057
0.5,50,0.5,complete,60,25,True,9,2023.652027
0.5,50,0.5,complete,60,30,True,0,2471.60155
0.5,50,0.5,complete,60,30,True,1,2441.659058
0.5,50,0.5,complete,60,30,True,2,2478.235375
0.5,50,0.5,complete,60,30,True,3,2507.235855
0.5,50,0.5,complete,60,30,True,4,2473.015943
0.5,50,0.5,complete,60,30,True,5,2425.88215
0.5,50,0.5,complete,60,30,True,6,2442.536466
0.5,50,0.5,complete,60,30,True,7,2471.450559
0.5,50,0.5,complete,60,30,True,8,2495.45647
0.5,50,0.5,complete,60,30,True,9,2414.656751
0.5,3,0.5,complete,60,15,False,0,4.180799
0.5,3,0.5,complete,60,15,False,1,6.58158
0.5,3,0.5,complete,60,15,False,2,4.071017
0.5,3,0.5,complete,60,15,False,3,4.085401
0.5,3,0.5,complete,60,15,False,4,8.011456
0.5,3,0.5,complete,60,15,False,5,6.701497
0.5,3,0.5,complete,60,15,False,6,4.082615
0.5,3,0.5,complete,60,15,False,7,6.736541
0.5,3,0.5,complete,60,15,False,8,7.700799
0.5,3,0.5,complete,60,15,False,9,5.381847
0.5,5,0.5,complete,60,15,False,0,22.710241
0.5,5,0.5,complete,60,15,False,1,22.679554
0.5,5,0.5,complete,60,15,False,2,19.864602
0.5,5,0.5,complete,60,15,False,3,25.557953
0.5,5,0.5,complete,60,15,False,4,22.661936
0.5,5,0.5,complete,60,15,False,5,22.197393
0.5,5,0.5,complete,60,15,False,6,22.439028
0.5,5,0.5,complete,60,15,False,7,17.697045
0.5,5,0.5,complete,60,15,False,8,22.689702
0.5,5,0.5,complete,60,15,False,9,25.182462
0.5,10,0.5,complete,60,15,False,0,111.324986
0.5,10,0.5,complete,60,15,False,1,141.207895
0.5,10,0.5,complete,60,15,False,2,113.297037
0.5,10,0.5,complete,60,15,False,3,107.769906
0.5,10,0.5,complete,60,15,False,4,118.304578
0.5,10,0.5,complete,60,15,False,5,140.508489
0.5,10,0.5,complete,60,15,False,6,122.992341
0.5,10,0.5,complete,60,15,False,7,109.95328
0.5,10,0.5,complete,60,15,False,8,109.631249
0.5,10,0.5,complete,60,15,False,9,127.186631
0.5,25,0.5,complete,60,15,False,0,917.57671
0.5,25,0.5,complete,60,15,False,1,850.338001
0.5,25,0.5,complete,60,15,False,2,875.425223
0.5,25,0.5,complete,60,15,False,3,846.094523
0.5,25,0.5,complete,60,15,False,4,916.70266
0.5,25,0.5,complete,60,15,False,5,901.538309
0.5,25,0.5,complete,60,15,False,6,886.310609
0.5,25,0.5,complete,60,15,False,7,841.877134
0.5,25,0.5,complete,60,15,False,8,906.268732
0.5,25,0.5,complete,60,15,False,9,795.155627
0.5,50,0.5,complete,60,15,False,0,3786.421347
0.5,50,0.5,complete,60,15,False,1,3607.069093
0.5,50,0.5,complete,60,15,False,2,3944.229771
0.5,50,0.5,complete,60,15,False,3,3835.953903
0.5,50,0.5,complete,60,15,False,4,3955.803213
0.5,50,0.5,complete,60,15,False,5,3931.531039
0.5,50,0.5,complete,60,15,False,6,3897.778915
0.5,50,0.5,complete,60,15,False,7,3918.005918
0.5,50,0.5,complete,60,15,False,8,3950.856551
0.5,50,0.5,complete,60,15,False,9,3980.169983
0.5,75,0.5,complete,60,15,False,0,9136.113623
0.5,75,0.5,complete,60,15,False,1,9402.438589
0.5,75,0.5,complete,60,15,False,2,8889.220932
0.5,75,0.5,complete,60,15,False,3,8918.950998
0.5,75,0.5,complete,60,15,False,4,8752.065838
0.5,75,0.5,complete,60,15,False,5,9020.769159
0.5,75,0.5,complete,60,15,False,6,9126.996781
0.5,75,0.5,complete,60,15,False,7,9145.486507
0.5,75,0.5,complete,60,15,False,8,9205.208177
0.5,75,0.5,complete,60,15,False,9,8945.498211
0.5,100,0.5,complete,60,15,False,0,16666.538767
0.5,100,0.5,complete,60,15,False,1,16697.74419
0.5,100,0.5,complete,60,15,False,2,16914.648647
0.5,100,0.5,complete,60,15,False,3,16634.916372
0.5,100,0.5,complete,60,15,False,4,17062.428226
0.5,100,0.5,complete,60,15,False,5,17463.070729
0.5,100,0.5,complete,60,15,False,6,17119.23452
0.5,100,0.5,complete,60,15,False,7,17512.773567
0.5,100,0.5,complete,60,15,False,8,16597.997912
0.5,100,0.5,complete,60,15,False,9,16381.643126
0.5,150,0.5,complete,60,15,False,0,37980.318152
0.5,150,0.5,complete,60,15,False,1,38365.730675
0.5,150,0.5,complete,60,15,False,2,37395.974003
0.5,150,0.5,complete,60,15,False,3,38636.190975
0.5,150,0.5,complete,60,15,False,4,38419.86796
0.5,150,0.5,complete,60,15,False,5,39363.018524
0.5,150,0.5,complete,60,15,False,6,38556.183914
0.5,150,0.5,complete,60,15,False,7,38728.343501
0.5,150,0.5,complete,60,15,False,8,38862.603292
0.5,150,0.5,complete,60,15,False,9,39014.449398
0.5,200,0.5,complete,60,15,False,0,68284.115321
0.5,200,0.5,complete,60,15,False,1,66402.194493
0.5,200,0.5,complete,60,15,False,2,69024.793325
0.5,200,0.5,complete,60,15,False,3,67239.764109
0.5,200,0.5,complete,60,15,False,4,67862.235509
0.5,200,0.5,complete,60,15,False,5,68023.491214
0.5,200,0.5,complete,60,15,False,6,70104.940767
0.5,200,0.5,complete,60,15,False,7,67483.693997
0.5,200,0.5,complete,60,15,False,8,68903.36223
0.5,200,0.5,complete,60,15,False,9,68828.189591
0.5,50,0.5,complete,3,1,False,0,1.635699
0.5,50,0.5,complete,3,1,False,1,1.753331
0.5,50,0.5,complete,3,1,False,2,1.832562
0.5,50,0.5,complete,3,1,False,3,1.793418
0.5,50,0.5,complete,3,1,False,4,1.818627
0.5,50,0.5,complete,3,1,False,5,1.826161
0.5,50,0.5,complete,3,1,False,6,1.820836
0.5,50,0.5,complete,3,1,False,7,1.834936
0.5,50,0.5,complete,3,1,False,8,1.7868
0.5,50,0.5,complete,3,1,False,9,1.764617
0.5,50,0.5,complete,5,1,False,0,7.08055
0.5,50,0.5,complete,5,1,False,1,7.668686
0.5,50,0.5,complete,5,1,False,2,8.061055
0.5,50,0.5,complete,5,1,False,3,7.709014
0.5,50,0.5,complete,5,1,False,4,7.286667
0.5,50,0.5,complete,5,1,False,5,7.46934
0.5,50,0.5,complete,5,1,False,6,7.15282
0.5,50,0.5,complete,5,1,False,7,7.588131
0.5,50,0.5,complete,5,1,False,8,6.894706
0.5,50,0.5,complete,5,1,False,9,8.057904
0.5,50,0.5,complete,10,1,False,0,39.3686
0.5,50,0.5,complete,10,1,False,1,41.534915
0.5,50,0.5,complete,10,1,False,2,38.591217
0.5,50,0.5,complete,10,1,False,3,42.07771
0.5,50,0.5,complete,10,1,False,4,39.32334
0.5,50,0.5,complete,10,1,False,5,41.749632
0.5,50,0.5,complete,10,1,False,6,38.126349
0.5,50,0.5,complete,10,1,False,7,37.762448
0.5,50,0.5,complete,10,1,False,8,39.669603
0.5,50,0.5,complete,10,1,False,9,39.864133
0.5,50,0.5,complete,20,1,False,0,168.6938
0.5,50,0.5,complete,20,1,False,1,150.780976
0.5,50,0.5,complete,20,1,False,2,158.092181
0.5,50,0.5,complete,20,1,False,3,158.623598
0.5,50,0.5,complete,20,1,False,4,163.112656
0.5,50,0.5,complete,20,1,False,5,154.095763
0.5,50,0.5,complete,20,1,False,6,154.72954
0.5,50,0.5,complete,20,1,False,7,160.481368
0.5,50,0.5,complete,20,1,False,8,154.887074
0.5,50,0.5,complete,20,1,False,9,156.940287
0.5,50,0.5,complete,30,1,False,0,375.34356
0.5,50,0.5,complete,30,1,False,1,374.900324
0.5,50,0.5,complete,30,1,False,2,397.125321
0.5,50,0.5,complete,30,1,False,3,399.513141
0.5,50,0.5,complete,30,1,False,4,387.288787
0.5,50,0.5,complete,30,1,False,5,385.190926
0.5,50,0.5,complete,30,1,False,6,384.589578
0.5,50,0.5,complete,30,1,False,7,388.571152
0.5,50,0.5,complete,30,1,False,8,378.859544
0.5,50,0.5,complete,30,1,False,9,387.331702
0.5,50,0.5,complete,50,1,False,0,1263.388116
0.5,50,0.5,complete,50,1,False,1,1230.382069
0.5,50,0.5,complete,50,1,False,2,1243.038714
0.5,50,0.5,complete,50,1,False,3,1217.779099
0.5,50,0.5,complete,50,1,False,4,1242.916216
0.5,50,0.5,complete,50,1,False,5,1276.421535
0.5,50,0.5,complete,50,1,False,6,1270.265584
0.5,50,0.5,complete,50,1,False,7,1300.815157
0.5,50,0.5,complete,50,1,False,8,1280.932101
0.5,50,0.5,complete,50,1,False,9,1214.222205
0.5,50,0.5,complete,75,1,False,0,3147.4285
0.5,50,0.5,complete,75,1,False,1,3194.826805
0.5,50,0.5,complete,75,1,False,2,3192.233582
0.5,50,0.5,complete,75,1,False,3,3167.35322
0.5,50,0.5,complete,75,1,False,4,3252.317661
0.5,50,0.5,complete,75,1,False,5,3205.925047
0.5,50,0.5,complete,75,1,False,6,3188.42125
0.5,50,0.5,complete,75,1,False,7,3133.162919
0.5,50,0.5,complete,75,1,False,8,3197.865224
0.5,50,0.5,complete,75,1,False,9,3212.305663
0.5,50,0.5,complete,100,1,False,0,6493.870966
0.5,50,0.5,complete,100,1,False,1,6454.041341
0.5,50,0.5,complete,100,1,False,2,6607.183255
0.5,50,0.5,complete,100,1,False,3,6364.228226
0.5,50,0.5,complete,100,1,False,4,6477.087007
0.5,50,0.5,complete,100,1,False,5,6512.919558
0.5,50,0.5,complete,100,1,False,6,6294.720789
0.5,50,0.5,complete,100,1,False,7,6443.364193
0.5,50,0.5,complete,100,1,False,8,6764.280665
0.5,50,0.5,complete,100,1,False,9,6410.647413
0.5,50,0.5,complete,60,1,False,0,1788.730397
0.5,50,0.5,complete,60,1,False,1,1920.197496
0.5,50,0.5,complete,60,1,False,2,1847.473052
0.5,50,0.5,complete,60,1,False,3,1793.77805
0.5,50,0.5,complete,60,1,False,4,1785.136405
0.5,50,0.5,complete,60,1,False,5,1850.96858
0.5,50,0.5,complete,60,1,False,6,1793.258836
0.5,50,0.5,complete,60,1,False,7,1871.120597
0.5,50,0.5,complete,60,1,False,8,1888.295346
0.5,50,0.5,complete,60,1,False,9,1839.272875
0.5,50,0.5,complete,60,2,False,0,2062.976245
0.5,50,0.5,complete,60,2,False,1,2041.530957
0.5,50,0.5,complete,60,2,False,2,2039.814726
0.5,50,0.5,complete,60,2,False,3,2140.218188
0.5,50,0.5,complete,60,2,False,4,2035.881744
0.5,50,0.5,complete,60,2,False,5,2007.71144
0.5,50,0.5,complete,60,2,False,6,2024.623089
0.5,50,0.5,complete,60,2,False,7,1989.698496
0.5,50,0.5,complete,60,2,False,8,2050.425203
0.5,50,0.5,complete,60,2,False,9,2061.258443
0.5,50,0.5,complete,60,5,False,0,2409.803632
0.5,50,0.5,complete,60,5,False,1,2366.894564
0.5,50,0.5,complete,60,5,False,2,2372.852839
0.5,50,0.5,complete,60,5,False,3,2402.748667
0.5,50,0.5,complete,60,5,False,4,2409.73941
0.5,50,0.5,complete,60,5,False,5,2449.094627
0.5,50,0.5,complete,60,5,False,6,2321.081026
0.5,50,0.5,complete,60,5,False,7,2401.244241
0.5,50,0.5,complete,60,5,False,8,2385.649554
