coverage,dimension,threshold,linkage,nb_motifs,nb_motif_sets,full_numba,repeat,Time [ms]
0.6,50,0.1,average,60,15,True,6,1157.637
0.6,50,0.1,average,60,15,True,7,1233.981
0.6,50,0.1,average,60,15,True,8,1652.6508
0.6,50,0.1,average,60,15,True,9,1333.091
0.6,50,0.2,average,60,15,True,0,1469.5335
0.6,50,0.2,average,60,15,True,1,1402.624
0.6,50,0.2,average,60,15,True,2,1424.5304
0.6,50,0.2,average,60,15,True,3,1376.936
0.6,50,0.2,average,60,15,True,4,1405.6746
0.6,50,0.2,average,60,15,True,5,1462.683
0.6,50,0.2,average,60,15,True,6,1398.6781
0.6,50,0.2,average,60,15,True,7,1369.789
0.6,50,0.2,average,60,15,True,8,1390.3933
0.6,50,0.2,average,60,15,True,9,1397.2284
0.6,50,0.3,average,60,15,True,0,1423.6975
0.6,50,0.3,average,60,15,True,1,1720.4381
0.6,50,0.3,average,60,15,True,2,1614.9291
0.6,50,0.3,average,60,15,True,3,1483.1068
0.6,50,0.3,average,60,15,True,4,1429.7208
0.6,50,0.3,average,60,15,True,5,1384.5719
0.6,50,0.3,average,60,15,True,6,1596.0081
0.6,50,0.3,average,60,15,True,7,1516.6967
0.6,50,0.3,average,60,15,True,8,1539.477
0.6,50,0.3,average,60,15,True,9,1401.7677
0.6,50,0.4,average,60,15,True,0,1483.8864
0.6,50,0.4,average,60,15,True,1,1383.0972
0.6,50,0.4,average,60,15,True,2,1390.7452
0.6,50,0.4,average,60,15,True,3,1462.855
0.6,50,0.4,average,60,15,True,4,1474.5865
0.6,50,0.4,average,60,15,True,5,1495.0976
0.6,50,0.4,average,60,15,True,6,1563.3007
0.6,50,0.4,average,60,15,True,7,1494.2063
0.6,50,0.4,average,60,15,True,8,1574.6822
0.6,50,0.4,average,60,15,True,9,1567.2282
0.6,50,0.5,average,60,15,True,0,1553.5906
0.6,50,0.5,average,60,15,True,1,1533.3015
0.6,50,0.5,average,60,15,True,2,1504.7273
0.6,50,0.5,average,60,15,True,3,1437.9932
0.6,50,0.5,average,60,15,True,4,1659.888
0.6,50,0.5,average,60,15,True,5,1531.9247
0.6,50,0.5,average,60,15,True,6,1430.7587
0.6,50,0.5,average,60,15,True,7,1381.5167
0.6,50,0.5,average,60,15,True,8,1586.9381
0.6,50,0.5,average,60,15,True,9,1689.3647
0.6,50,0.6,average,60,15,True,0,1440.217
0.6,50,0.6,average,60,15,True,1,1417.4517
0.6,50,0.6,average,60,15,True,2,1651.9147
0.6,50,0.6,average,60,15,True,3,1300.3728
0.6,50,0.6,average,60,15,True,4,1369.8299
0.6,50,0.6,average,60,15,True,5,1281.472
0.6,50,0.6,average,60,15,True,6,1422.9956
0.6,50,0.6,average,60,15,True,7,1375.4489
0.6,50,0.6,average,60,15,True,8,1451.9605
0.6,50,0.6,average,60,15,True,9,1370.8576
