benchmark_set,ds_name,time_series_id,model,time [s],time motif discovery [s],time motif aggregation [s]
scalability,dimension=20,0,EMD_star,0.020627975463867188,,
scalability,dimension=20,0,LAMA,0.194915771484375,,
scalability,dimension=20,0,MMotifs,0.38816094398498535,,
scalability,dimension=20,0,GrammarVizRePair,3.1759586334228516,3.131356954574585,0.0446016788482666
scalability,dimension=20,0,LatentMotifs,3.320500612258911,3.319406509399414,0.0010941028594970703
scalability,dimension=20,0,LoCoMotif,1.8955187797546387,1.895329236984253,0.0001895427703857422
scalability,dimension=20,0,Motiflets,1.8550875186920166,1.8540706634521484,0.001016855239868164
scalability,dimension=20,0,SetFinder,2.7583296298980713,2.7581419944763184,0.0001876354217529297
scalability,dimension=20,1,EMD_star,0.013779163360595703,,
scalability,dimension=20,1,LAMA,0.2074263095855713,,
scalability,dimension=20,1,MMotifs,0.37731456756591797,,
scalability,dimension=20,1,GrammarVizRePair,3.117187261581421,3.0821850299835205,0.03500223159790039
scalability,dimension=20,1,LatentMotifs,3.1989643573760986,3.1974573135375977,0.0015070438385009766
scalability,dimension=20,1,LoCoMotif,1.915083408355713,1.9149534702301025,0.00012993812561035156
scalability,dimension=20,1,Motiflets,1.8531014919281006,1.8520307540893555,0.0010707378387451172
scalability,dimension=20,1,SetFinder,2.8118975162506104,2.8117008209228516,0.00019669532775878906
scalability,dimension=20,2,EMD_star,0.01907825469970703,,
scalability,dimension=20,2,LAMA,0.19783639907836914,,
scalability,dimension=20,2,MMotifs,0.38599085807800293,,
scalability,dimension=20,2,GrammarVizRePair,3.158261775970459,3.1199951171875,0.038266658782958984
scalability,dimension=20,2,LatentMotifs,3.3070743083953857,3.3056561946868896,0.0014181137084960938
scalability,dimension=20,2,LoCoMotif,1.906745433807373,1.90657377243042,0.000171661376953125
scalability,dimension=20,2,Motiflets,1.848024845123291,1.847012996673584,0.0010118484497070312
scalability,dimension=20,2,SetFinder,2.7902095317840576,2.7899880409240723,0.00022149085998535156
scalability,dimension=20,3,EMD_star,0.017615318298339844,,
scalability,dimension=20,3,LAMA,0.23150014877319336,,
scalability,dimension=20,3,MMotifs,0.3814523220062256,,
scalability,dimension=20,3,GrammarVizRePair,3.1055588722229004,3.076418399810791,0.029140472412109375
scalability,dimension=20,3,LatentMotifs,3.1955173015594482,3.1939542293548584,0.0015630722045898438
scalability,dimension=20,3,LoCoMotif,1.9252991676330566,1.925171136856079,0.00012803077697753906
scalability,dimension=20,3,Motiflets,1.8503673076629639,1.8494293689727783,0.0009379386901855469
scalability,dimension=20,3,SetFinder,2.7934229373931885,2.7932991981506348,0.00012373924255371094
scalability,dimension=20,4,EMD_star,0.017946720123291016,,
scalability,dimension=20,4,LAMA,0.20555734634399414,,
scalability,dimension=20,4,MMotifs,0.4233415126800537,,
scalability,dimension=20,4,GrammarVizRePair,3.146226167678833,3.099626302719116,0.0465998649597168
scalability,dimension=20,4,LatentMotifs,3.2255096435546875,3.224429130554199,0.0010805130004882812
scalability,dimension=20,4,LoCoMotif,1.899707317352295,1.8994550704956055,0.0002522468566894531
scalability,dimension=20,4,Motiflets,1.8470945358276367,1.8460266590118408,0.0010678768157958984
scalability,dimension=20,4,SetFinder,2.797863006591797,2.7976834774017334,0.00017952919006347656
scalability,dimension=20,5,EMD_star,0.012856483459472656,,
scalability,dimension=20,5,LAMA,0.20624971389770508,,
scalability,dimension=20,5,MMotifs,0.3830273151397705,,
scalability,dimension=20,5,GrammarVizRePair,3.1493048667907715,3.1093759536743164,0.03992891311645508
scalability,dimension=20,5,LatentMotifs,3.2652719020843506,3.2634778022766113,0.0017940998077392578
scalability,dimension=20,5,LoCoMotif,1.9117505550384521,1.911630392074585,0.0001201629638671875
scalability,dimension=20,5,Motiflets,1.849229335784912,1.848175048828125,0.0010542869567871094
scalability,dimension=20,5,SetFinder,2.7350270748138428,2.734846353530884,0.00018072128295898438
scalability,dimension=20,6,EMD_star,0.014861106872558594,,
scalability,dimension=20,6,LAMA,0.19527912139892578,,
scalability,dimension=20,6,MMotifs,0.38443565368652344,,
scalability,dimension=20,6,GrammarVizRePair,3.1067028045654297,3.0730204582214355,0.03368234634399414
scalability,dimension=20,6,LatentMotifs,3.2326061725616455,3.230051279067993,0.0025548934936523438
scalability,dimension=20,6,LoCoMotif,1.9143249988555908,1.914186954498291,0.0001380443572998047
scalability,dimension=20,6,Motiflets,1.8556342124938965,1.8547091484069824,0.0009250640869140625
scalability,dimension=20,6,SetFinder,2.743130683898926,2.74296236038208,0.00016832351684570312
scalability,dimension=20,7,EMD_star,0.013781309127807617,,
scalability,dimension=20,7,LAMA,0.1909184455871582,,
