benchmark_set,ds_name,time_series_id,model,time [s],time motif discovery [s],time motif aggregation [s]
scalability,length=500,3,LatentMotifs,0.7667038440704346,0.7666893005371094,1.4543533325195312e-05
scalability,length=500,3,LoCoMotif,0.12053298950195312,0.1204524040222168,8.058547973632812e-05
scalability,length=500,3,Motiflets,0.20761442184448242,0.2075178623199463,9.655952453613281e-05
scalability,length=500,3,SetFinder,0.4800093173980713,0.4799981117248535,1.1205673217773438e-05
scalability,length=500,4,EMD_star,0.010130643844604492,,
scalability,length=500,4,LAMA,0.01926112174987793,,
scalability,length=500,4,MMotifs,0.12611603736877441,,
scalability,length=500,4,GrammarVizRePair,0.7135193347930908,0.7120330333709717,0.0014863014221191406
scalability,length=500,4,LatentMotifs,0.7807457447052002,0.7807357311248779,1.0013580322265625e-05
scalability,length=500,4,LoCoMotif,0.10973978042602539,0.10963892936706543,0.00010085105895996094
scalability,length=500,4,Motiflets,0.20689797401428223,0.20679974555969238,9.822845458984375e-05
scalability,length=500,4,SetFinder,0.5041937828063965,0.5041861534118652,7.62939453125e-06
scalability,length=500,5,EMD_star,0.009363889694213867,,
scalability,length=500,5,LAMA,0.01743459701538086,,
scalability,length=500,5,MMotifs,0.06162524223327637,,
scalability,length=500,5,GrammarVizRePair,0.7278976440429688,0.7256951332092285,0.0022025108337402344
scalability,length=500,5,LatentMotifs,0.7613577842712402,0.7613492012023926,8.58306884765625e-06
scalability,length=500,5,LoCoMotif,0.1099390983581543,0.10984396934509277,9.512901306152344e-05
scalability,length=500,5,Motiflets,0.2046971321105957,0.20459747314453125,9.965896606445312e-05
scalability,length=500,5,SetFinder,0.5173041820526123,0.517296314239502,7.867813110351562e-06
scalability,length=500,6,EMD_star,0.009608030319213867,,
scalability,length=500,6,LAMA,0.018631458282470703,,
scalability,length=500,6,MMotifs,0.14865994453430176,,
scalability,length=500,6,GrammarVizRePair,0.7152655124664307,0.7133417129516602,0.0019237995147705078
scalability,length=500,6,LatentMotifs,0.7524533271789551,0.7524325847625732,2.0742416381835938e-05
scalability,length=500,6,LoCoMotif,0.11475086212158203,0.11466097831726074,8.988380432128906e-05
scalability,length=500,6,Motiflets,0.20641732215881348,0.2063148021697998,0.00010251998901367188
scalability,length=500,6,SetFinder,0.5027611255645752,0.5027530193328857,8.106231689453125e-06
scalability,length=500,7,EMD_star,0.0754857063293457,,
scalability,length=500,7,LAMA,0.08397603034973145,,
scalability,length=500,7,MMotifs,0.056851863861083984,,
scalability,length=500,7,GrammarVizRePair,0.7346346378326416,0.7311689853668213,0.0034656524658203125
scalability,length=500,7,LatentMotifs,0.7175803184509277,0.7174780368804932,0.00010228157043457031
scalability,length=500,7,LoCoMotif,0.10707330703735352,0.10694432258605957,0.0001289844512939453
scalability,length=500,7,Motiflets,0.2085559368133545,0.20844388008117676,0.00011205673217773438
scalability,length=500,7,SetFinder,0.50484299659729,0.5048303604125977,1.2636184692382812e-05
scalability,length=500,8,EMD_star,0.03176379203796387,,
scalability,length=500,8,LAMA,0.047774314880371094,,
scalability,length=500,8,MMotifs,0.07017230987548828,,
scalability,length=500,8,GrammarVizRePair,0.7315981388092041,0.7300090789794922,0.001589059829711914
scalability,length=500,8,LatentMotifs,0.7261567115783691,0.7260651588439941,9.1552734375e-05
scalability,length=500,8,LoCoMotif,0.1142880916595459,0.11420702934265137,8.106231689453125e-05
scalability,length=500,8,Motiflets,0.2078871726989746,0.20778465270996094,0.00010251998901367188
scalability,length=500,8,SetFinder,0.5597314834594727,0.5597183704376221,1.3113021850585938e-05
scalability,length=500,9,EMD_star,0.009144306182861328,,
scalability,length=500,9,LAMA,0.10118961334228516,,
scalability,length=500,9,MMotifs,0.0404355525970459,,
scalability,length=500,9,GrammarVizRePair,0.7473850250244141,0.7443630695343018,0.0030219554901123047
scalability,length=500,9,LatentMotifs,0.7765512466430664,0.7765426635742188,8.58306884765625e-06
scalability,length=500,9,LoCoMotif,0.11378264427185059,0.11367440223693848,0.00010824203491210938
scalability,length=500,9,Motiflets,0.20656895637512207,0.20646262168884277,0.00010633468627929688
scalability,length=500,9,SetFinder,0.5157656669616699,0.5157556533813477,1.0013580322265625e-05
