benchmark_set,ds_name,time_series_id,model,time [s],time motif discovery [s],time motif aggregation [s]
scalability,length=10000,0,EMD_star,0.8879168033599854,,
scalability,length=10000,0,LAMA,4.260293245315552,,
scalability,length=10000,0,MMotifs,6.453803062438965,,
scalability,length=10000,0,GrammarVizRePair,1.9945311546325684,1.9897980690002441,0.004733085632324219
scalability,length=10000,0,LatentMotifs,2.4675920009613037,2.467289686203003,0.00030231475830078125
scalability,length=10000,0,LoCoMotif,68.10595059394836,68.09634494781494,0.009605646133422852
scalability,length=10000,0,Motiflets,11.528279542922974,11.528141260147095,0.00013828277587890625
scalability,length=10000,0,SetFinder,7.1587512493133545,7.158624887466431,0.00012636184692382812
scalability,length=10000,1,EMD_star,1.583322286605835,,
scalability,length=10000,1,LAMA,4.17412805557251,,
scalability,length=10000,1,MMotifs,6.4612040519714355,,
scalability,length=10000,1,GrammarVizRePair,2.0109190940856934,2.004995346069336,0.005923748016357422
scalability,length=10000,1,LatentMotifs,2.393962860107422,2.393758535385132,0.00020432472229003906
scalability,length=10000,1,LoCoMotif,68.03713989257812,68.02755832672119,0.009581565856933594
scalability,length=10000,1,Motiflets,11.499353170394897,11.499196290969849,0.00015687942504882812
scalability,length=10000,1,SetFinder,7.136029005050659,7.13586163520813,0.00016736984252929688
scalability,length=10000,2,EMD_star,0.9125533103942871,,
scalability,length=10000,2,LAMA,4.135695934295654,,
scalability,length=10000,2,MMotifs,6.545213937759399,,
scalability,length=10000,2,GrammarVizRePair,1.9747178554534912,1.967729091644287,0.0069887638092041016
scalability,length=10000,2,LatentMotifs,2.45011043548584,2.4499588012695312,0.00015163421630859375
scalability,length=10000,2,LoCoMotif,68.0939724445343,68.08610033988953,0.00787210464477539
scalability,length=10000,2,Motiflets,11.577927350997925,11.577786445617676,0.00014090538024902344
scalability,length=10000,2,SetFinder,7.0114617347717285,7.011328220367432,0.000133514404296875
scalability,length=10000,3,EMD_star,0.8994283676147461,,
scalability,length=10000,3,LAMA,4.131041526794434,,
scalability,length=10000,3,MMotifs,6.454831600189209,,
scalability,length=10000,3,GrammarVizRePair,1.9796605110168457,1.9694628715515137,0.010197639465332031
scalability,length=10000,3,LatentMotifs,2.4776458740234375,2.477414608001709,0.00023126602172851562
scalability,length=10000,3,LoCoMotif,68.29870438575745,68.28813314437866,0.01057124137878418
scalability,length=10000,3,Motiflets,11.546926021575928,11.546784162521362,0.0001418590545654297
scalability,length=10000,3,SetFinder,7.282365083694458,7.282132863998413,0.00023221969604492188
scalability,length=10000,4,EMD_star,0.8853886127471924,,
scalability,length=10000,4,LAMA,4.134516954421997,,
scalability,length=10000,4,MMotifs,6.447291851043701,,
scalability,length=10000,4,GrammarVizRePair,2.005910873413086,2.001584768295288,0.0043261051177978516
scalability,length=10000,4,LatentMotifs,2.3934617042541504,2.3932199478149414,0.00024175643920898438
scalability,length=10000,4,LoCoMotif,67.51007890701294,67.50126719474792,0.008811712265014648
scalability,length=10000,4,Motiflets,11.541498899459839,11.541362285614014,0.0001366138458251953
scalability,length=10000,4,SetFinder,7.269759178161621,7.26960563659668,0.00015354156494140625
scalability,length=10000,5,EMD_star,0.9243230819702148,,
scalability,length=10000,5,LAMA,4.253950357437134,,
scalability,length=10000,5,MMotifs,6.459414005279541,,
scalability,length=10000,5,GrammarVizRePair,1.9497895240783691,1.9476745128631592,0.002115011215209961
scalability,length=10000,5,LatentMotifs,2.3983640670776367,2.3981854915618896,0.0001785755157470703
scalability,length=10000,5,LoCoMotif,67.71090459823608,67.70238471031189,0.008519887924194336
scalability,length=10000,5,Motiflets,11.583130359649658,11.582987070083618,0.00014328956604003906
scalability,length=10000,5,SetFinder,6.8624279499053955,6.862343072891235,8.487701416015625e-05
scalability,length=10000,6,EMD_star,0.8302972316741943,,
scalability,length=10000,6,LAMA,4.653649568557739,,
scalability,length=10000,6,MMotifs,6.45295524597168,,
scalability,length=10000,6,GrammarVizRePair,2.025071144104004,2.020169734954834,0.004901409149169922
scalability,length=10000,6,LatentMotifs,2.4301865100860596,2.4298529624938965,0.00033354759216308594
scalability,length=10000,6,LoCoMotif,69.04748320579529,69.03995156288147,0.007531642913818359
scalability,length=10000,6,Motiflets,11.552023887634277,11.551867485046387,0.000156402587890625
scalability,length=10000,6,SetFinder,6.843254089355469,6.843164682388306,8.940696716308594e-05
scalability,length=10000,7,EMD_star,0.8340950012207031,,
scalability,length=10000,7,LAMA,4.137010812759399,,
scalability,length=10000,7,MMotifs,6.544160842895508,,
scalability,length=10000,7,GrammarVizRePair,2.029214859008789,2.0250327587127686,0.004182100296020508
scalability,length=10000,7,LatentMotifs,2.4141013622283936,2.413848876953125,0.0002524852752685547
scalability,length=10000,7,LoCoMotif,67.48836755752563,67.47374773025513,0.014619827270507812
scalability,length=10000,7,Motiflets,11.498864889144897,11.498715877532959,0.00014901161193847656
scalability,length=10000,7,SetFinder,7.040548801422119,7.040414571762085,0.0001342296600341797
scalability,length=10000,8,EMD_star,0.8897819519042969,,
scalability,length=10000,8,LAMA,4.124042749404907,,
scalability,length=10000,8,MMotifs,6.4604268074035645,,
scalability,length=10000,8,GrammarVizRePair,2.0080251693725586,2.0042030811309814,0.0038220882415771484
scalability,length=10000,8,LatentMotifs,2.4114394187927246,2.4110665321350098,0.00037288665771484375
scalability,length=10000,8,LoCoMotif,67.87342357635498,67.86493873596191,0.008484840393066406
scalability,length=10000,8,Motiflets,11.537325143814087,11.537177085876465,0.0001480579376220703
scalability,length=10000,8,SetFinder,6.9835827350616455,6.983421325683594,0.0001614093780517578
scalability,length=10000,9,EMD_star,0.8980820178985596,,
scalability,length=10000,9,LAMA,4.1257405281066895,,
scalability,length=10000,9,MMotifs,6.464854717254639,,
scalability,length=10000,9,GrammarVizRePair,2.034855365753174,2.0314419269561768,0.0034134387969970703
scalability,length=10000,9,LatentMotifs,2.4003050327301025,2.4001197814941406,0.00018525123596191406
scalability,length=10000,9,LoCoMotif,69.62997364997864,69.62131834030151,0.008655309677124023
scalability,length=10000,9,Motiflets,11.52199912071228,11.521862983703613,0.0001361370086669922
scalability,length=10000,9,SetFinder,7.413116931915283,7.412931442260742,0.00018548965454101562
