benchmark_set,ds_name,time_series_id,model,time [s],time motif discovery [s],time motif aggregation [s]
scalability,length=1000,0,EMD_star,0.03358626365661621,,
scalability,length=1000,0,LAMA,0.05642437934875488,,
scalability,length=1000,0,MMotifs,0.1089639663696289,,
scalability,length=1000,0,GrammarVizRePair,0.8051364421844482,0.8032371997833252,0.0018992424011230469
scalability,length=1000,0,LatentMotifs,0.8380677700042725,0.8379278182983398,0.0001399517059326172
scalability,length=1000,0,LoCoMotif,0.4599425792694092,0.45982837677001953,0.00011420249938964844
scalability,length=1000,0,Motiflets,0.46053171157836914,0.4604191780090332,0.0001125335693359375
scalability,length=1000,0,SetFinder,0.6528959274291992,0.6528851985931396,1.0728836059570312e-05
scalability,length=1000,1,EMD_star,0.018616676330566406,,
scalability,length=1000,1,LAMA,0.06518888473510742,,
scalability,length=1000,1,MMotifs,0.12474441528320312,,
scalability,length=1000,1,GrammarVizRePair,0.7866246700286865,0.780550479888916,0.006074190139770508
scalability,length=1000,1,LatentMotifs,0.8599963188171387,0.8599870204925537,9.298324584960938e-06
scalability,length=1000,1,LoCoMotif,0.46797990798950195,0.4678971767425537,8.273124694824219e-05
scalability,length=1000,1,Motiflets,0.4612884521484375,0.4611835479736328,0.0001049041748046875
scalability,length=1000,1,SetFinder,0.5886945724487305,0.588686466217041,8.106231689453125e-06
scalability,length=1000,2,EMD_star,0.03933358192443848,,
scalability,length=1000,2,LAMA,0.08525681495666504,,
scalability,length=1000,2,MMotifs,0.10779428482055664,,
scalability,length=1000,2,GrammarVizRePair,0.7871897220611572,0.7843339443206787,0.0028557777404785156
scalability,length=1000,2,LatentMotifs,0.8312184810638428,0.8309540748596191,0.0002644062042236328
scalability,length=1000,2,LoCoMotif,0.46983838081359863,0.4696929454803467,0.00014543533325195312
scalability,length=1000,2,Motiflets,0.4598698616027832,0.45975780487060547,0.00011205673217773438
scalability,length=1000,2,SetFinder,0.6165750026702881,0.6165671348571777,7.867813110351562e-06
scalability,length=1000,3,EMD_star,0.11107110977172852,,
scalability,length=1000,3,LAMA,0.12040209770202637,,
scalability,length=1000,3,MMotifs,0.10437560081481934,,
scalability,length=1000,3,GrammarVizRePair,0.7599129676818848,0.7513003349304199,0.008612632751464844
scalability,length=1000,3,LatentMotifs,0.8619463443756104,0.861924409866333,2.193450927734375e-05
scalability,length=1000,3,LoCoMotif,0.48171544075012207,0.4816267490386963,8.869171142578125e-05
scalability,length=1000,3,Motiflets,0.46325063705444336,0.4631466865539551,0.00010395050048828125
scalability,length=1000,3,SetFinder,0.6384103298187256,0.6384027004241943,7.62939453125e-06
scalability,length=1000,4,EMD_star,0.016316890716552734,,
scalability,length=1000,4,LAMA,0.07293272018432617,,
scalability,length=1000,4,MMotifs,0.11011028289794922,,
scalability,length=1000,4,GrammarVizRePair,0.7927663326263428,0.7883379459381104,0.004428386688232422
scalability,length=1000,4,LatentMotifs,0.8810060024261475,0.8809940814971924,1.1920928955078125e-05
scalability,length=1000,4,LoCoMotif,0.4602017402648926,0.4600982666015625,0.00010347366333007812
scalability,length=1000,4,Motiflets,0.4609384536743164,0.46080994606018066,0.0001285076141357422
scalability,length=1000,4,SetFinder,0.6439390182495117,0.6439311504364014,7.867813110351562e-06
scalability,length=1000,5,EMD_star,0.018397808074951172,,
scalability,length=1000,5,LAMA,0.05284833908081055,,
scalability,length=1000,5,MMotifs,0.10833024978637695,,
scalability,length=1000,5,GrammarVizRePair,0.7886357307434082,0.7858121395111084,0.0028235912322998047
scalability,length=1000,5,LatentMotifs,0.8426938056945801,0.8426809310913086,1.2874603271484375e-05
scalability,length=1000,5,LoCoMotif,0.4687962532043457,0.46869611740112305,0.00010013580322265625
