benchmark_set,ds_name,time_series_id,model,time [s],time motif discovery [s],time motif aggregation [s]
scalability,dimension=3,0,EMD_star,0.017682790756225586,,
scalability,dimension=3,0,LAMA,0.08080267906188965,,
scalability,dimension=3,0,MMotifs,0.1140744686126709,,
scalability,dimension=3,0,GrammarVizRePair,0.4491095542907715,0.44762277603149414,0.0014867782592773438
scalability,dimension=3,0,LatentMotifs,0.5414235591888428,0.5413222312927246,0.00010132789611816406
scalability,dimension=3,0,LoCoMotif,0.2721893787384033,0.27208399772644043,0.00010538101196289062
scalability,dimension=3,0,Motiflets,0.27530670166015625,0.2752506732940674,5.602836608886719e-05
scalability,dimension=3,0,SetFinder,0.38625526428222656,0.3861219882965088,0.00013327598571777344
scalability,dimension=3,1,EMD_star,0.049245595932006836,,
scalability,dimension=3,1,LAMA,0.034464120864868164,,
scalability,dimension=3,1,MMotifs,0.07044410705566406,,
scalability,dimension=3,1,GrammarVizRePair,0.46420860290527344,0.4636859893798828,0.000522613525390625
scalability,dimension=3,1,LatentMotifs,0.5065059661865234,0.506403923034668,0.00010204315185546875
scalability,dimension=3,1,LoCoMotif,0.28113603591918945,0.28107476234436035,6.127357482910156e-05
scalability,dimension=3,1,Motiflets,0.27929234504699707,0.27923583984375,5.650520324707031e-05
scalability,dimension=3,1,SetFinder,0.4939548969268799,0.4938240051269531,0.0001308917999267578
scalability,dimension=3,2,EMD_star,0.016474008560180664,,
scalability,dimension=3,2,LAMA,0.043897390365600586,,
scalability,dimension=3,2,MMotifs,0.07710719108581543,,
scalability,dimension=3,2,GrammarVizRePair,0.47281694412231445,0.47153782844543457,0.0012791156768798828
scalability,dimension=3,2,LatentMotifs,0.4725821018218994,0.4724726676940918,0.00010943412780761719
scalability,dimension=3,2,LoCoMotif,0.27689528465270996,0.2767922878265381,0.000102996826171875
scalability,dimension=3,2,Motiflets,0.27601099014282227,0.2759408950805664,7.009506225585938e-05
scalability,dimension=3,2,SetFinder,0.49505114555358887,0.494922399520874,0.00012874603271484375
scalability,dimension=3,3,EMD_star,0.016490697860717773,,
scalability,dimension=3,3,LAMA,0.03883957862854004,,
scalability,dimension=3,3,MMotifs,0.07322525978088379,,
